"Risk
ID","Item
Description",Function,Tech. Class,Novel Aspects,"Failure
Mode","Failure 
Effects
(Local, WEC, System)","Failure
Cause(s)","Initial Mode
 of
Operation
","Risk Reduction 
Design","Preventative
Detection","Post Failure
Detection","Post Failure
Repair
Strategy 
(automated, manual)",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"Recommended
Actions",Responsible Party,"Actions
Taken",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"2nd Recommended
Actions",Responsible Party (2nd),"Actions
Taken (2nd)",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"Status
(open or closed)",Notes,DNV GL comments,CPwr Comment
0310-1,Motor Modules (MoMo),Control and synchronize a group of stator segments,2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Failed multiple (x) MoMos,"1) PTO controlled shutdown
2) Operator can re-start once diagnostics determines fault is isloated and there is no further risk. Re-start PTO with: 
  a. Partial loss of Generator, x/9 
  b. Reduced max torque by x/9
  c. Reduced max damping
  d. Reduction in power due to torque limit reduction by x/9

",Corrosion induced failure short circuit,Normal,"1) Marine rated corrosion resistance design
2) Redundant design Segmented generator, controlled by 6 groups of MoMos. 
",1) Visual inspection,SCADA Diagnostics,Manual in-situ inspection and repair,7,1,1,5,5,Low,Low,Med,Med,"All electrical components can be repaired in-situ. This is assuming that the repair is possible considering the limitations below: 
1. Limitation due to access and size of the hatches and size of the modules to be repaired.
2. Movement of WEC
3. Commissioning/partial commissioning or testing offshore after repair or replacement of parts.
Clarify between failure that requires replacement of the whole module (dry dock) and partial replacement (in-situ)
Also see risk ID 0330-1 for comment on occurrence class",,,,,,,,,,,,,,,,,,,,,,,,,,"0310: Failure mode: overspeed in motor operation possible/ to be considered? Furthermore, asynchronous or motor operation  of single MoMos possible?
Please clarify if overspeed during motor operation, asynchronous of motor operation of single MoMos is possible. Failure mode needs to be considered.
General comment:
All electrical components can be repaired in-situ. This is assuming that the repair is possible considering the limitations below: 
1. Limitation due to access and size of the hatches and size of the modules to be repaired.
2. Movement of WEC
3. Commissioning/partial commissioning or testing offshore after repair or replacement of parts.
Please clarify.
For the failure that requires replacement of the whole module, would a dry dock repair required due to the limitations mentioned above?
Also see risk ID 0330-1 for comment on occurrence class","The speed rating for the machine is 150% higher than extreme seas freewheeling worst case real seas simulation.  In the case of speed being higher than set point of 100% speed (~15rpm) M2G MoMo controller can disconnect and allow freewheeling.  While freewheeling, all power electronics are isolated from higher voltage potentials. The MoMos are 4-quadrant controllers, which motor or generate in either direction. An error in controller could cause issue with direction, but M2G control diagnostics would quickly alarm and fault out.  Mechanically designed to either motor or generate at any given time. "
0310-2,Motor Modules (MoMo),Control and synchronize a group of stator segments,2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Failed multiple (x) MoMos,"1) PTO controlled shutdown
2) Operator can re-start once diagnostics determines fault is isloated and there is no further risk. Re-start PTO with: 
  a. Partial loss of Generator, x/9 
  b. Reduced max torque by x/9
  c. Reduced max damping
  d. Reduction in power due to torque limit reduction by x/9

",Improper installation or manufacturing defect results in failure,Normal,1) V&V (QC),none,SCADA Diagnostics,Manual in-situ inspection and repair,5,1,1,5,5,Low,Low,Low,Low,It is assumed that failure due to improper installation or manufacturing faults are usually mitigated via manufacturer's in house quality control and testing of the components.  Anything outisde of what is normal should be documented.,,,,,,,,,,,,,,,,,,,,,,,,,,"It is assumed that failure due to improper installation or manufacturing faults are usually mitigated via manufacturer's in house quality control and testing of the components. The failure mode should focus on quality control or testing specific to the WEC applications. Hence, the description of failure cause to be more specific to capture the failure causes unique to StingRAY device, or remove if none has been identified.",Aggreed. Most are coverd by manufacture with regards to the equipment.  Installation into the WEC is performed by a 3rd party and requires additional V&V of the final complete system assembled inside of the nacelle/WEC. 
0310-3,Motor Modules (MoMo),Control and synchronize a group of stator segments,2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Failed multiple (x) MoMos,"1) PTO controlled shutdown
2) Operator can re-start once diagnostics determines fault is isloated and there is no further risk. Re-start PTO with: 
  a. Partial loss of Generator, x/9 
  b. Reduced max torque by x/9
  c. Reduced max damping
  d. Reduction in power due to torque limit reduction by x/9

",Vibration and/or motion induced failure,Normal,"1) Vibration analysis
2) Equipment and installation designed for dynamic environment
2) Redundant design, 6 MoMo per generator",none,SCADA Diagnostics,Manual in-situ inspection and repair,6,1,1,5,5,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0310-4,Motor Modules (MoMo),Control and synchronize a group of stator segments,2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Failed multiple (x) MoMos,"1) PTO controlled shutdown
2) Operator can re-start once diagnostics determines fault is isloated and there is no further risk. Re-start PTO with: 
  a. Partial loss of Generator, x/9 
  b. Reduced max torque by x/9
  c. Reduced max damping
  d. Reduction in power due to torque limit reduction by x/9

","Water induced failure 
(non-corrosion)",Normal,"1) Marine rated waterproof enclosure
2) Limit number of MoMo per enclosure
3) Redundant design, 6 MoMo per generator
","1) SCADA diagnostics 
2) Visual inspection",SCADA Diagnostics,Manual in-situ inspection and repair,6,1,1,5,5,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0310-5,Motor Modules (MoMo),Control and synchronize a group of stator segments,2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Failed multiple (x) MoMos in enclosure due to enclosure short,"1) PTO controlled shutdown
2) Operator can re-start once diagnostics determines fault is isloated and there is no further risk. Re-start PTO with: 
  a. Partial loss of Generator, x/9 
  b. Reduced max torque by x/9
  c. Reduced max damping
  d. Reduction in power due to torque limit reduction by x/9

",Electrical short (no water or corrosion),Normal,"1) Marine rated waterproof enclosure
2) Limit number of MoMo per enclosure
3) Redundant design, 6 MoMo per generator
","1) SCADA diagnostics 
2) Visual inspection",SCADA Diagnostics,Manual in-situ inspection and repair,5,1,1,5,5,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0310-6,Motor Modules (MoMo),Control and synchronize a group of stator segments,2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Failed single MoMo,"1) PTO controlled shutdown
2) Operator can re-start once diagnostics determines fault is isloated and there is no further risk. Re-start PTO with: 
  a. Partial loss of Generator, 1/9 
  b. Reduced max torque by x19
  c. Reduced max damping
  d. Reduction in power due to torque limit reduction by 1/9

",Corrosion induced failure short circuit,Normal,"1)Marine rated corrosion resistance design
2) Segmented generator, controlled by 9 independent  MoMos. 
","1) SCADA diagnostics 
2) Visual inspection",SCADA Diagnostics,Manual in-situ inspection and repair,7,1,1,4,4,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,Is there enough current capacity in the MoMos to make up for the reduced torque limit? Depend on final design ,See comment in Risk ID 0330-1,OK
0310-7,Motor Modules (MoMo),Control and synchronize a group of stator segments,2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Failed single MoMo,"1) PTO controlled shutdown
2) Operator can re-start once diagnostics determines fault is isloated and there is no further risk. Re-start PTO with: 
  a. Partial loss of Generator, 1/9 
  b. Reduced max torque by x19
  c. Reduced max damping
  d. Reduction in power due to torque limit reduction by 1/9

",Improper installation or manufacturing defect results in failure,Normal,"1) V&V (QC)
2) Segmented generator, controlled by 9 independent  MoMos. ",none,SCADA Diagnostics,Manual in-situ inspection and repair,6,1,1,4,4,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,See comment in Risk ID 0310-2,OK
0310-8,Motor Modules (MoMo),Control and synchronize a group of stator segments,"1
2","none
Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Failed single MoMo,"1) PTO controlled shutdown
2) Operator can re-start once diagnostics determines fault is isloated and there is no further risk. Re-start PTO with: 
  a. Partial loss of Generator, 1/9 
  b. Reduced max torque by x19
  c. Reduced max damping
  d. Reduction in power due to torque limit reduction by 1/9

",Vibration and/or motion induced failure,Normal,"1) Vibration analysis
2) Equipment and installation designed for dynamic environment
2) Segmented generator, controlled by 9 independent  MoMos. ",1) Visual inspection,SCADA Diagnostics,Manual in-situ inspection and repair,7,1,1,4,4,Low,Low,Low,Low,"Check vibration ratings and standards, use LandRAY vibration data",,,,,,,,,,,,,,,,,,,,,,,,,,,
0310-9,Motor Modules (MoMo),Control and synchronize a group of stator segments,2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Failed single MoMo,"1) PTO controlled shutdown
2) Operator can re-start once diagnostics determines fault is isloated and there is no further risk. Re-start PTO with: 
  a. Partial loss of Generator, 1/9 
  b. Reduced max torque by x19
  c. Reduced max damping
  d. Reduction in power due to torque limit reduction by 1/9

","Water induced failure 
(non-corrosion)",Normal,"1) Marine rated waterproof enclosure
2) Limit number of MoMo per enclosure
3) Segmented generator, controlled by 9 independent  MoMos. 
","1) SCADA diagnostics 
2) Visual inspection",SCADA Diagnostics,Manual in-situ inspection and repair,7,1,1,4,4,Low,Low,Low,Low,Dry control room standards during installation and maintenance,,,,,,,,,,,,,,,,,,,,,,,,,,,
0320-1,DC Bus,"Electrical connection between MoMos, ALMs, Energy Storage, and Emergency resistor",2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Short DC bus,"1) PTO controlled shutdown
2) Loss of AC power generation
2) Loss of  power production from one PTO
3) Open DC cross connect to isolate port from stbd PTO",Corrosion induced failure short circuit,Normal,"1)Marine rated corrosion resistance design
2) Independent buses, one for each PTO",1) Visual inspection,SCADA Diagnostics,Manual in-situ inspection and repair,7,1,1,5,5,Low,Low,Med,Med,"Use watertight cable, connectors and enclosures.  Route cable for no rubbing abrasion. ",,,,,,,,,,,,,,,,,,,,,,,,,,See comment in Risk ID 0330-1,OK
