"Risk ID","Item Description",Function,"Tech. Class",Novel Aspects,"Failure Mode","Failure Effects","Failure Causes","Initial Mode of Operation","Risk Reduction Design","Preventative Detection","Post Failure Detection","Post Failure Repair Strategy",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"Recommended Actions",Responsible Party,"Actions Taken",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"2nd Recommended Actions",Responsible Party (2nd),"Actions Taken (2nd)",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"Status",Notes,DNV GL comment
400-1,SCADA components,Control and data collection,1,none,Fire/smoke,"1) Power loss due to short 
2) Damage to SCADA system
",Electrical short or internal component failure,Normal,"1) All SCADA functions are redundant on alternate side
2) Airtight enclosures 
3) Low power 
4) In cabinet fire suppression","1) Fire/smoke alarm
","1) Enclosure fire alarm
2) Enclosure temperature
3) Visible and IR camera",Manual in-situ repair and inspection,5,1,1,6,5,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,
410-1,Single PTO tape scale encoder,Provide position feedback to drives,2,new environment,Signal failure,"1) Single encoder fail
2) Loss of position feedback","Wiring Issue
- unknown internal fault
- unknown poor solder joint
- wire chaffe due to improper routing",Normal,"1) V&V
2) Redundant encoders",1) None,1) Encoder data,"Manual switch of encoders onboard
Programmatically selected encoders from internal system comparison.",7,1,1,2,4,Low,Low,Low,Low,"In agreement with DNVGL comment, this Failure Cause is covered by 410-2,3,5,6 and could be removed.",,,,,,,,,,,,,,,,,,,,,,,,,"Can signals be multiplexed and switched remotely?
- Yes, internal comparison can be performed of all encoders and they can be switched automatically or manually remotely.","It is assumed that failure due to improper installation or manufacturing faults are usually mitigated via manufacturer's in house quality control and testing of the components. The failure mode should focus on quality control or testing specific to the WEC applications. Hence, the description of failure cause to be more specific to capture the failure causes unique to StingRAY device, or remove if none has been identified."
410-2,Single PTO tape scale encoder,Provide position feedback to drives,2,new environment,Signal failure,"1) Single encoder fail
2) Loss of position feedback",Corrosion induced failure,Normal,"1) Material selection
2) IP 67
3) Climate Control
4) Redundant encoders
",1) None,1) Encoder data,"Manual switch of encoders onboard
Programmatically selected encoders from internal system comparison.",6,1,1,2,4,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,Reduced Severity Class of Operation due to having redundant encoders in design.,If redundant encoders then effect on operation of single encoder failure and therefore Severity class would be lower.
410-2,Single PTO tape scale encoder,Provide position feedback to drives,2,new environment,Signal failure,"1) Single encoder fail
2) Loss of position feedback",Contamination induced failure,Normal,"1) Thorough cleaning at commissioning
2) Redundant encoders",1) None,1) Encoder data,"Manual switch of encoders onboard
Programmatically selected encoders from internal system comparison.",7,1,1,2,4,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,Reduced Severity Class of Operation due to having redundant encoders in design.,If redundant encoders then effect on operation of single encoder failure and therefore Severity class would be lower.
410-3,Single PTO tape scale encoder,Provide position feedback to drives,2,new environment,Signal failure,"1) Single encoder fail
2) Loss of position feedback",Improper installation or manufacturing defect results in failure,Normal,"1) V&V
2) Redundant encoders",1) None,1) Encoder data,"Manual switch of encoders onboard
Programmatically selected encoders from internal system comparison.",7,1,1,2,4,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,Reduced Severity Class of Operation due to having redundant encoders in design.,"See comment in Risk ID 410-1. Since the occurrence class assigned here is higher, please clarify if this is due to improper installation or manufacturing faults that are specific to the WEC. "
410-4,Single PTO tape scale encoder,Provide position feedback to drives,2,new environment,Signal failure,"1) Single encoder fail
2) Loss of position feedback","Software / programming error during program revision.
",Normal,"1) V&V
2) Security",1) None,1) Encoder data,"Manual switch of encoders onboard
Manual correction of software/programming error, onboard or remotely.",5,1,1,6,4,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,Reduced Occurrence by 1 level as encoder operation is unlikely to be modified post-deployment and will be fully tested during commissioning and testing.,"It is expected that most software and programming error will have been corrected during commissioning and testing, unless CPwr expects the software/programme will be continuously refined and modified after deployment and the existing testing and commissioning of the programme is not able to detect the error. Please provide a more specific description of the failure cause."
410-5,Single PTO tape scale encoder,Provide position feedback to drives,2,new environment,Signal failure,"1) Single encoder fail
2) Loss of position feedback",Vibration and/or motion induced failure,Normal,"1) Modal analysis
2) Redundant encoders",1) None,1) Encoder data,"Manual switch of encoders onboard
Programmatically selected encoders from internal system comparison.",7,1,1,2,4,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,Reduced Severity Class of Operation due to having redundant encoders in design.,If redundant encoders then effect on operation of single encoder failure and therefore Severity class would be lower.
410-6,Single PTO tape scale encoder,Provide position feedback to drives,2,new environment,Signal failure,"1) Single encoder fail
2) Loss of position feedback","Water induced failure 
(non-corrosion)",Normal,"1) IP 67
2) Redundant encoders",1) None,1) Encoder data,"Manual switch of encoders onboard
Programmatically selected encoders from internal system comparison.",7,1,1,2,4,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,Reduced Severity Class of Operation due to having redundant encoders in design.,If redundant encoders then effect on operation of single encoder failure and therefore Severity class would be lower.
410-7,Backups + 1  encoders failure,Provide position feedback to drives,2,new environment,Encoder failure,"1) Incorrect signal - uncontrolled damping
2) No signal - freewheeling
3) Loss of position feedback",All encoders failed for one PTO,Normal,1) having installed backups,1) None,1) Encoder data,Dry-dock required for repair. ,4,1,1,7,7,Low,Low,Low,Low,Increase redundancy of encoders to 100% to reduce Occurrence.,,,,,,,,,,,,,,,,,,,,,,,,,"Requires 6 encoders for operation of 3 CU320s. 100% redundant encoders which can be swapped programmatically.
","CP to expand the FMEA using the same failure modes in ""single failure"", but one lower class of occurrence.
CP to provide reccommended action for mitigation of medium risk level"
410-8,Encoder power from M2G,Provide position feedback to drives,2,new environment,Signal failure,1) All encoder fail for one PTO,"Power failure to encoder
",Normal,"1) Redundant power supplies
2) Powered from M2G",1) None,1) Encoder data,manual supply replacement,3,1,1,6,2,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,Power from M2G,
