"Risk ID","Item Description",Function,Tech. Class,Novel Aspects,"Failure Mode","Failure Effects","Failure Causes","Initial Mode of Operation","Risk Reduction Design","Preventative Detection","Post Failure Detection","Post Failure Repair Strategy",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"Recommended Actions",Responsible Party,"Actions Taken",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"2nd Recommended Actions",Responsible Party (2nd),"Actions Taken (2nd)",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"Status",Notes
0630-1,Hull Penetrations,Hatches and cable penetrations,2,,Minor Leak in hatch or cable penetration seal,1) Water intrusion,Fatigue crack in seal,Normal,All hatches and cable penetrations are placed above the mean waterline. All hatches and cable penetrations are on the nacelle platforms which are 5.7m above the waterline except for the emergency hatches. All compartments have two bilge pumps,None,Bilge detection,Repair seal on site,7,1,1,3,4,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,
0630-2,Hull Penetrations,Hatches and cable penetrations,2,,Minor Leak in hatch or cable penetration seal,1) Water intrusion,Damage from debris,Normal,All hatches and cable penetrations are placed above the mean waterline. All hatches and cable penetrations are on the nacelle platforms which are 5.7m above the waterline except for the emergency hatches. All compartments have two bilge pumps,None,Bilge detection,Repair seal on site,7,1,1,3,4,Low,Low,Low,Low,"1. Design of the seals to take into account higher level of contamination. Sufficient wear allowance between maintenance intervals shall be demonstrated. The level of contamination shall be compatible with the expected debris
2. CP to define a debris management plan, including but not limited to the follow aspects:
a. Define the acceptance criteria for debris
b. Debris identification and management.
c. Design of diversion features for debris of unacceptable size, or design to reduce the impact on air gap due to the presence of debris.
d. Design features to reduce the part count per unit volume of debris.
CP to document the management plan, demonstrating the measures are being implemented in design, manufacturing and operational stages.",,,,,,,,,,,,,,,,,,,,,,,,,
0630-3,Hull Penetrations,Hatches and cable penetrations,2,,Minor Leak in hatch or cable penetration seal,1) Water intrusion,Overpressurization,Normal,All hatches and cable penetrations are placed above the mean waterline. All hatches and cable penetrations are on the nacelle platforms which are 5.7m above the waterline except for the emergency hatches. All compartments have two bilge pumps,None,Bilge detection,Repair seal on site,6,1,1,3,4,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,
0630-4,Hull Penetrations,Hatches and cable penetrations,2,,Minor Leak in hatch or cable penetration seal,1) Water intrusion,Deformation of mating structure,Normal,All hatches and cable penetrations are placed above the mean waterline. All hatches and cable penetrations are on the nacelle platforms which are 5.7m above the waterline except for the emergency hatches. All compartments have two bilge pumps,None,Bilge detection,Repair seal on site,7,1,1,3,4,Low,Low,Low,Low,FEA to show structural rigidity around hatch interface. Structural reinforcement to be added where needed,,,,,,,,,,,,,,,,,,,,,,,,,
0630-5,Hull Penetrations,Hatches and cable penetrations,2,,Major Leak in hatch or cable penetration seal,"1) Water intrusion
2) Component damage from corrosion",Fatigue crack in seal,Normal,All hatches and cable penetrations are placed above the mean waterline. All hatches and cable penetrations are on the nacelle platforms which are 5.7m above the waterline except for the emergency hatches. All compartments have two bilge pumps,None,Bilge detection,Repair seal on site,6,1,1,5,5,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,
0630-6,Hull Penetrations,Hatches and cable penetrations,2,,Major Leak in hatch or cable penetration seal,"1) Water intrusion
2) Component damage from corrosion",Damage from debris,Normal,All hatches and cable penetrations are placed above the mean waterline. All hatches and cable penetrations are on the nacelle platforms which are 5.7m above the waterline except for the emergency hatches. All compartments have two bilge pumps,None,Bilge detection,Repair seal on site,6,1,1,5,5,Low,Low,Low,Low,"1. Design of the seals to take into account higher level of contamination. Sufficient wear allowance between maintenance intervals shall be demonstrated. The level of contamination shall be compatible with the expected debris
2. CP to define a debris management plan, including but not limited to the follow aspects:
a. Define the acceptance criteria for debris
b. Debris identification and management.
c. Design of diversion features for debris of unacceptable size, or design to reduce the impact on air gap due to the presence of debris.
d. Design features to reduce the part count per unit volume of debris.
CP to document the management plan, demonstrating the measures are being implemented in design, manufacturing and operational stages.",,,,,,,,,,,,,,,,,,,,,,,,,
0630-7,Hull Penetrations,Hatches and cable penetrations,2,,Major Leak in hatch or cable penetration seal,"1) Water intrusion
2) Component damage from corrosion",Overpressurization,Normal,All hatches and cable penetrations are placed above the mean waterline. All hatches and cable penetrations are on the nacelle platforms which are 5.7m above the waterline except for the emergency hatches. All compartments have two bilge pumps,None,Bilge detection,Repair seal on site,5,1,1,5,5,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,
0630-8,Hull Penetrations,Hatches and cable penetrations,2,,Major Leak in hatch or cable penetration seal,"1) Water intrusion
2) Component damage from corrosion",Deformation of mating structure,Normal,All hatches and cable penetrations are placed above the mean waterline. All hatches and cable penetrations are on the nacelle platforms which are 5.7m above the waterline except for the emergency hatches. All compartments have two bilge pumps,None,Bilge detection,Repair seal on site,6,1,1,5,5,Low,Low,Low,Low,FEA to show structural rigidity around hatch interface. Structural reinforcement to be added where needed,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
