"Risk
ID","Item
Description",Function,Tech. Class,Novel Aspects,"Failure
Mode","Failure 
Effects
(Local, WEC, System)","Failure
Cause(s)","Initial Mode
 of
Operation
","Risk Reduction 
Design","Preventative
Detection","Post Failure
Detection","Post Failure
Repair
Strategy 
(automated, manual)",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"Recommended
Actions",Responsible Party,"Actions
Taken",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"2nd Recommended
Actions",Responsible Party (2nd),"Actions
Taken (2nd)",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"Status
(open or closed)",Notes
0710-1,"Single point (Hawser lines, Shackles and Pendants)",Primary station keeping,2,Loading,Double hawser failure (including hardware failure),"1) Loss of station keeping
2) Loss of umbilical (see 0800)
4) BOB - buoy on beach or BOTS - buoy out to sea
5) Loss of primary fiber communications",Extreme load induced damage (Overload),Normal,none,none,"1) GPS watch circle alarm
2) Yaw direction detection
3) Mooring load cells
4) Visual detection
5) Loss of umbilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)
WEC Hull: recover WEC, dry dock repair",3,4,7,9,9,Low,Low,Med,Med,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) A salvage/emergency response plan to be defined prior to first deployment, stating the mitigating actions for the failure and the expected time window for the  operation(s) to be carried out. It needs to be demonstrated that the expected time window is achievable for the sudden occurrence of the event","1) Marine contractor feasibility study
2) Marine contractor",,,,,,,,,,,,,,,,,,,,,,,,Assumes that buoy on beach results in significant damage to the structure
0710-2,"Single point (Hawser lines, Shackles and Pendants)",Primary station keeping,2,Loading,Double hawser failure (including hardware failure),"1) Loss of station keeping
2) Loss of umbilical (see 0800)
4) BOB - buoy on beach or BOTS - buoy out to sea
5) Loss of primary fiber communications",Snap loads,Normal,none,none,"1) GPS watch circle alarm
2) Yaw direction detection
3) Mooring load cells
4) Visual detection
5) Loss of umbilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)
WEC Hull: recover WEC, dry dock repair",3,4,7,9,9,Low,Low,Med,Med,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) A salvage/emergency response plan to be defined prior to first deployment, stating the mitigating actions for the failure and the expected time window for the  operation(s) to be carried out. It needs to be demonstrated that the expected time window is achievable for the sudden occurrence of the event
3) load cases to include investigation of snap loading",,,,,,,,,,,,,,,,,,,,,,,,,Assumes that buoy on beach results in significant damage to the structure
0710-3,"Single point (Hawser lines, Shackles and Pendants)",Primary station keeping,2,Loading,Double hawser failure (including hardware failure),"1) Loss of station keeping
2) Loss of umbilical (see 0800)
4) BOB - buoy on beach or BOTS - buoy out to sea
5) Loss of primary fiber communications",fatigue induced damage,Normal,"1) Material selection  and component sizing
","Regularly scheduled visual inspection, with repair/ replacement as needed","1) GPS watch circle alarm
2) Yaw direction detection
3) Mooring load cells
4) Visual detection
5) Loss of umbilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)
WEC Hull: recover WEC, dry dock repair",3,4,7,9,9,Low,Low,Med,Med,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) A salvage/emergency response plan to be defined prior to first deployment, stating the mitigating actions for the failure and the expected time window for the  operation(s) to be carried out. It needs to be demonstrated that the expected time window is achievable for the sudden occurrence of the event","1) Marine contractor feasibility study
2) Marine contractor",,,,,,,,,,,,,,,,,,,,,,,,Assumes that buoy on beach results in significant damage to the structure
0710-4,"Single point (Hawser lines, Shackles and Pendants)",Primary station keeping,2,Loading,Double hawser failure (including hardware failure),"1) Loss of station keeping
2) Loss of umbilical (see 0800)
4) BOB - buoy on beach or BOTS - buoy out to sea
5) Loss of primary fiber communications",Non-service ship strike,Normal,"1) Lights, radar reflectors (e.g. visibility)
2) Hawsers and hardware below ship draft (~4m)",none,"1) GPS watch circle alarm
2) Yaw direction detection
3) Mooring load cells
4) Visual detection
5) Loss of umbilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)
WEC Hull: recover WEC, dry dock repair",2,4,7,9,9,Low,Low,Low,Low,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) A salvage/emergency response plan to be defined prior to first deployment, stating the mitigating actions for the failure and the expected time window for the  operation(s) to be carried out. It needs to be demonstrated that the expected time window is achievable for the sudden occurrence of the event
3) establish exclusion zone at deployed area",1) Marine contractor,,,,,,,,,,,,,,,,,,,,,,,,Assumes that buoy on beach results in significant damage to the structure
0710-5,"Single point (Hawser lines, Shackles and Pendants)",Primary station keeping,2,Loading,Double hawser failure (including hardware failure),"1) Loss of station keeping
2) Loss of umbilical (see 0800)
4) BOB - buoy on beach or BOTS - buoy out to sea
5) Loss of primary fiber communications",Vandalism/ negligence,Normal,"1) Surveillance system
2) Hawsers and hardware below easy access (~4m)",none,"1) GPS watch circle alarm
2) Yaw direction detection
3) Mooring load cells
4) Visual detection
5) Loss of umbilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)
WEC Hull: recover WEC, dry dock repair",4,4,7,9,9,Low,Low,Med,Med,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) A salvage/emergency response plan to be defined prior to first deployment, stating the mitigating actions for the failure and the expected time window for the  operation(s) to be carried out. It needs to be demonstrated that the expected time window is achievable for the sudden occurrence of the event",1) Marine contractor feasibility study,,,,,,,,,,,,,,,,,,,,,,,,Assumes that buoy on beach results in significant damage to the structure
0712-1,Single point chain (vertical),"Keep foam buoy in position
Connecting sinker to buoy",2,Loading,Line break,"1) Change to WEC orientation
2) Sub-optimal WEC response
3) Possible entaglement between single point sinker and umbilical",Extreme load induced damage,Normal,none,none,1) Visual detection,Replace on site,5,1,1,4,4,Low,Low,Low,Low,none,,,,,,,,,,,,,,,,,,,,,,,,,"4.5 ton sinker (0715) will be supported by WEC reserve buoyancy in event of single point chain failure rather than by buoy (0714). WEC performance will be negatively effected, but no stability issues expected"
0712-2,Single point chain (vertical),"Keep foam buoy in position
Connecting sinker to buoy",2,Loading,Line break,"1) Change to WEC orientation
2) Sub-optimal WEC response
3) Possible entaglement between single point sinker and umbilical",Snap loads,Normal,none,none,1) Visual detection,Replace on site,4,1,1,4,4,Low,Low,Low,Low,1) load cases to include investigation of snap loading,,,,,,,,,,,,,,,,,,,,,,,,,
0712-3,Single point chain (vertical),"Keep foam buoy in position
Connecting sinker to buoy",2,Loading,Line break,"1) Change to WEC orientation
2) Sub-optimal WEC response
3) Possible entaglement between single point sinker and umbilical",fatigue induced damage,Normal,none,"Regularly scheduled visual inspection, with repair/ replacement as needed",1) Visual detection,Replace on site,7,1,1,4,4,Low,Low,Low,Low,none,,,,,,,,,,,,,,,,,,,,,,,,,
0712-4,Single point chain (vertical),"Keep foam buoy in position
Connecting sinker to buoy",2,Loading,Line break,"1) Change to WEC orientation
2) Sub-optimal WEC response
3) Possible entaglement between single point sinker and umbilical",Non-service ship strike,Normal,"1) Lights, radar reflectors (e.g. visibility)",none,1) Visual detection,Replace on site,3,4,1,4,4,Low,Low,Low,Low,1) establish exclusion zone at deployed area,,,,,,,,,,,,,,,,,,,,,,,,,
0712-5,Single point chain (vertical),"Keep foam buoy in position
Connecting sinker to buoy",2,Loading,Line break,"1) Change to WEC orientation
2) Sub-optimal WEC response
3) Possible entaglement between single point sinker and umbilical",Corrosion,Normal,none,"Regularly scheduled visual inspection, with repair/ replacement as needed",1) Visual detection,Replace on site,7,1,1,4,4,Low,Low,Low,Low,none,,,,,,,,,,,,,,,,,,,,,,,,,
