"Risk ID","Item Description",Function,Tech. Class,Novel Aspects,"Failure Mode","Failure Effects","Failure Causes","Initial Mode of Operation","Risk Reduction Design","Preventative Detection","Post Failure Detection","Post Failure Repair Strategy",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"Recommended Actions",Responsible Party,"Actions Taken",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"2nd Recommended Actions",Responsible Party (2nd),"Actions Taken (2nd)",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"Status",Notes,DNV GL comments,CPwr Comments
0810-1,Umbilical Cable,Provides flexible subsea medium voltage cable connection to subsea junction for grid connection,2,"WEC motion, dynamic cable connection ",Umbilical mechanical failure,"1) Electrical fault
2) Loss of grid 
3) 0300 switches to ""Islanding mode"" - station loads only
4) Loss of primary fibre communications
5) momentary electric arc in water (<20ms)",Corrosion induced damage to the tension members of the cable,Normal,"1) Automatic island mode
2) Proper material selection
3) Component sizing ",Regularly scheduled ROV inspection,"1) SCADA Diagnostics
2) Visual inspection",Repair/replace on site… but long lead time (~12mo),7,2,2,9,9,Low,Low,High,High,"1) Schedule regular visual inspection of components
2) design to reduce occurrence","1) Marine contractor
2) ?",,,,,,,,,,,,,,,,,,,,,,,,,"Corrosion could lead to two failure modes, either a mechanical failure due to loss of strength or an electrical fault. These should be divided into separate risks. This is a high risk for long term deployment due to energetic motions that make it difficult to  protect against water ingress especially at connection points. However a short term deployment is a good opportunity to test the system and check for potential signs of wear/water ingress.","All mechanical failure will lead to an electrical fault
The umbilical should be design to last one lifetime. 20yar minimal on 3signma, 7 occurrence is 32 years.  It seems the resultant risk should be not high.  Design target is medium which is possibly impossible and financially irresponsible to achieve. 
"
0810-2,Umbilical Cable,Provides flexible subsea medium voltage cable connection to subsea junction for grid connection,2,"WEC motion, dynamic cable connection ",Umbilical electrical failure,"1) Electrical fault
2) Loss of grid
3) 0300 switches to ""Islanding mode"" - station loads only
4) Loss of primary fibre communications
5) momentary electric arc in water (<20ms)","Corrosion induced damage to insulation
Phase to Phase short
Phase to GND short

",Normal,"1) Automatic island mode
2) Proper material selection
3) Component sizing ",Regularly scheduled ROV inspection,"1) SCADA Diagnostics
2) Visual inspection",Repair/replace on site… but long lead time (~12mo),7,2,2,9,9,Low,Low,High,High,"1) Schedule regular visual inspection of components
2) design to reduce occurrence",,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical fault
0810-3,Umbilical Cable,Provides flexible subsea medium voltage cable connection to subsea junction for grid connection,2,"WEC motion, dynamic cable connection ",Umbilical mechanical failure,"1) Loss of grid
2) 0300 switches to ""Islanding mode"" - station loads only
3) Loss of primary fibre communications
4) momentary electric arc in water (<20ms)", Wear induced damage,Normal,"1) Automatic island mode
2) Proper material selection
3) Component sizing ",Regularly scheduled ROV inspection,"1) SCADA Diagnostics
2) Visual inspection",Repair/replace on site… but long lead time (~12mo),7,2,2,9,9,Low,Low,High,High,"1. On-going assessment and validation of the dynamic and motion response of the WEC, via means of analysis and measurements of the existing prototypes. 
2. Inspections and/or measurements on the WEC upon deployment for validation. 
3. The conclusions from the actions are to include any relevant safety margin due to the uncertainties on the collection of data, normal variability on the parameters.
4. Evidence of expected wear in the cable from testing/analysis, following the outcome of each of the action above, is within the design limits. ","1) Marine contractor
2) ?",,,,,,,,,,,,,,,,,,,,,,,,,"Failure cause is a long term effect, hence compatible to FLS design criteria. The occurrence class adjusted  to the class same as FLS.
Suggest text for recommended action:
1. On-going assessment and validation of the dynamic and motion response of the WEC, via means of analysis and measurements of the existing prototypes. 
2. Inspections and/or measurements on the WEC upon deployment for validation. 
3. The conclusions from the actions are to include any relevant safety margin due to the uncertainties on the collection of data, normal variability on the parameters.
4. Evidence of expected wear in the cable from testing/analysis, following the outcome of each of the action above, is within the design limits. ",OK
0810-4,Umbilical Cable,Provides flexible subsea medium voltage cable connection to subsea junction for grid connection,2,"WEC motion, dynamic cable connection ",Umbilical mechanical failure,"1) Loss of grid
2) 0300 switches to ""Islanding mode"" - station loads only
3) Loss of primary fibre communications
4) momentary electric arc in water (<20ms)", Fatigue induced damage,Normal,"1) Automatic island mode
2) Proper material selection
3) Component sizing ",Regularly scheduled ROV inspection,"1) SCADA Diagnostics
2) Visual inspection",Repair/replace on site… but long lead time (~12mo),7,2,2,9,9,Low,Low,High,High,"1. On-going assessment and validation of the dynamic and motion response of the WEC, via means of analysis and measurements of the existing prototypes. 
2. Inspections and/or measurements on the WEC upon deployment for validation. 
3. The conclusions from the actions are to include any relevant safety margin due to the uncertainties on the collection of data, normal variability on the parameters.
4. Fatigue assessment or test/deployment data to demonstrate that the fatigue strength of the cable, following the outcome of each of the action above, is within the design limits. ","1) Marine contractor
2) ?",,,,,,,,,,,,,,,,,,,,,,,,,"Occurrence class adjusted to be compatible with FLS design.
Suggest text for recommended action:
1. On-going assessment and validation of the dynamic and motion response of the WEC, via means of analysis and measurements of the existing prototypes. 
2. Inspections and/or measurements on the WEC upon deployment for validation. 
3. The conclusions from the actions are to include any relevant safety margin due to the uncertainties on the collection of data, normal variability on the parameters.
4. Fatigue assessment or test/deployment data to demonstrate that the fatigue strength of the cable, following the outcome of each of the action above, is within the design limits. ",OK
0810-5,Umbilical Cable,Provides flexible subsea medium voltage cable connection to subsea junction for grid connection,2,"WEC motion, dynamic cable connection ",Umbilical mechanical failure,"1) Loss of grid
2) 0300 switches to ""Islanding mode"" - station loads only
3) Loss of primary fibre communications
4) momentary electric arc in water (<20ms)",Extreme load induced damage,Normal,"1) Automatic island mode
2) Proper material selection
3) Component sizing ",Regularly scheduled ROV inspection,"1) SCADA Diagnostics
2) Visual inspection",Repair/replace on site… but long lead time (~12mo),5,2,2,9,9,Low,Low,Med,Med,"1. On-going assessment and validation of the dynamic and motion response of the WEC, via means of analysis and measurements of the existing prototypes. 
2. Inspections and/or measurements on the WEC upon deployment for validation. 
3. The conclusions from the actions are to include any relevant safety margin due to the uncertainties on the collection of data, normal variability on the parameters.
4.Structural analysis to demonstrate that the structural integrity of the cable (and connection), following the outcome of each of the action above, is within the design limits. ","1) Marine contractor
2) Marine contractor feasibility study",,,,,,,,,,,,,,,,,,,,,,,,,"Occurrence class adjusted to be compatible with ULS design.
Suggest text for recommended action
1. On-going assessment and validation of the dynamic and motion response of the WEC, via means of analysis and measurements of the existing prototypes. 
2. Inspections and/or measurements on the WEC upon deployment for validation. 
3. The conclusions from the actions are to include any relevant safety margin due to the uncertainties on the collection of data, normal variability on the parameters.
4.Structural analysis to demonstrate that the structural integrity of the cable (and connection), following the outcome of each of the action above, is within the design limits. ",OK
0810-6,Umbilical Cable,Provides flexible subsea medium voltage cable connection to subsea junction for grid connection,3,"WEC motion, dynamic cable connection ",Umbilical mechanical failure,"1) Loss of grid
2) 0300 switches to ""Islanding mode"" - station loads only
3) Loss of primary fibre communications
4) momentary electric arc in water (<20ms)",Interference with mooring legs,Normal,"1) Proper mooring design
2) Automatic island mode
3) Proper material selection
4) Component sizing ",,,Repair/replace on site… but long lead time (~12mo),3,2,2,9,9,Low,Low,Med,Med,"1. On-going assessment and validation of the dynamic and motion response of the WEC, via means of analysis and measurements of the existing prototypes. 
2. Inspections and/or measurements on the WEC upon deployment for validation. 
3. The conclusions from the actions are to include any relevant safety margin due to the uncertainties on the collection of data, normal variability on the parameters.
4. In the worst case position of umbilical and mooring, analysis to demonstrate the clearance  between the mooring legs and umbilical is within the defined acceptance criteria . ",,,,,,,,,,,,,,,,,,,,,,,,,,"Occurrence class compatible with ALS design criteria.
Suggest text for recommended action
1. On-going assessment and validation of the dynamic and motion response of the WEC, via means of analysis and measurements of the existing prototypes. 
2. Inspections and/or measurements on the WEC upon deployment for validation. 
3. The conclusions from the actions are to include any relevant safety margin due to the uncertainties on the collection of data, normal variability on the parameters.
4. In the worst case position of umbilical and mooring, analysis to demonstrate the clearance  between the mooring legs and umbilical is within the defined acceptance criteria . ",
0810-7,Umbilical Cable,Provides flexible subsea medium voltage cable connection to subsea junction for grid connection,2,"WEC motion, dynamic cable connection ",Umbilical electrical failure,"1) Loss of grid connection
2) 0300 switches to ""Islanding mode"" - station loads only
3) Loss of primary fibre communications
4) momentary electric arc in water (<20ms)","Corrosion induced damage to insulation
Phase to Phase short
Phase to GND short

",Normal,"1) MV Isolation breakers on shore power connection
2) Automatic island mode
3) Proper material selection
4) Component sizing ",Regularly scheduled ROV inspection,"1) SCADA Diagnostics
2) Visual inspection",Repair/replace on site… but long lead time (~12mo),7,2,2,9,9,Low,Low,High,High,"1) Schedule regular visual inspection of components
2) design to reduce occurrence",,,,,,,,,,,,,,,,,,,,,,,,,,Please provide FMECA for consideration of electrical failure of umbilicals .,repeat of 0810-2
0810-8,Umbilical Cable,Provides flexible subsea medium voltage cable connection to subsea junction for grid connection,2,"WEC motion, dynamic cable connection ",Umbilical environmental induced fault/failure,"1) Loss of grid
2) 0300 switches to ""Islanding mode"" - station loads only
3) Loss of primary fibre communications
4) momentary electric arc in water (<20ms)",Shark bite/fish bite,Normal,"1) Automatic island mode
2) Proper material selection
3) Component sizing ",Regularly scheduled ROV inspection,"1) SCADA Diagnostics
2) Visual inspection",Repair/replace on site… but long lead time (~12mo),6,2,2,9,9,Low,Low,Med,Med,1) analysis: expected fish bite failures and detectability with regular inspections,Marine contractor,,,,,,,,,,,,,,,,,,,,,,,,,"CPwr to clarify the basis for occurrence class 6, because the occurrence class for mooring lines is class 8. Suggest to increase the class to 8. 
Suggest texts for recommended action:
1. Protective sheath on the polyester lines at risk for fish bite. 
2. Design of umbilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
3) ) analysis: expected fish bite failures and detectability with regular inspections",
0810-9,Umbilical Cable,Provides flexible subsea medium voltage cable connection to subsea junction for grid connection,2,"WEC motion, dynamic cable connection ",Umbilical mechanical failure,"1) Loss of grid
2) 0300 switches to ""Islanding mode"" - station loads only
3) Loss of primary fibre communications
4) momentary electric arc in water (<20ms)",0700 mooring system fault leads to failure of umbilical,Emergency- Mooring failure,"1) Automatic island mode
2) Proper material selection
3) Component sizing ",Regularly scheduled ROV inspection,"1) SCADA Diagnostics
2) Visual inspection",Repair/replace on site… but long lead time (~12mo),9,2,2,8,7,Low,Low,High,High,See 0700 mooring system FMECA,,,,,,,,,,,,,,,,,,,,,,,,,,,"Added per request, upon any major failure operational mode goes to emergency. This is a second level contingency based on a mooring failure"
0811 - 1,Floats,Provide bouyancy for umbilical cable as needed to maintain lazy-S configuration,2,"WEC motion, dynamic cable connection ",Mechanical - decrease in bouyancy  ,"1) Loss of bouyancy in cable lazy-S
2) Increased mechanical stress atWEC
3) Increased mechanical stress on cable",Mechanical failure - disconnection from cable,Normal,"1) Using known/proven marine design technique
2) Inspections

",Regularly scheduled ROV inspection,"1) SCADA Diagnostics
2) Visual inspection",Repair/replace on site ,7,2,2,5,5,Low,Low,Med,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,
